DATE,VOLUME,PREV_VOLUME,VOLUME_CHANGE_PCT,SYMBOL
10/11/2024,836435,522949,59.946,NYT
10/10/2024,522949,675008,-22.527,NYT
10/9/2024,675008,591358,14.145,NYT
10/8/2024,591358,650932,-9.152,NYT
10/7/2024,650932,627198,3.784,NYT
10/4/2024,627198,656015,-4.393,NYT
10/3/2024,656015,856944,-23.447,NYT
10/2/2024,856944,702827,21.928,NYT
10/1/2024,702827,778478,-9.718,NYT
9/30/2024,778478,838404,-7.148,NYT
9/27/2024,838404,1010077,-16.996,NYT
9/26/2024,1010077,766012,31.862,NYT
9/25/2024,766012,714669,7.184,NYT
9/24/2024,714669,594718,20.169,NYT
9/23/2024,594718,2026301,-70.65,NYT
9/20/2024,2026301,638823,217.193,NYT
9/19/2024,638823,838024,-23.77,NYT
9/18/2024,838024,898193,-6.699,NYT
9/17/2024,898193,871078,3.113,NYT
9/16/2024,871078,710599,22.584,NYT
9/13/2024,710599,794525,-10.563,NYT
9/12/2024,794525,1089111,-27.048,NYT
9/11/2024,1089111,634476,71.655,NYT
9/10/2024,634476,780315,-18.69,NYT
9/9/2024,780315,935872,-16.622,NYT
9/6/2024,935872,535116,74.891,NYT
9/5/2024,535116,534897,0.041,NYT
9/4/2024,534897,1009557,-47.017,NYT
9/3/2024,1009557,966425,4.463,NYT
8/30/2024,966425,570026,69.541,NYT
8/29/2024,570026,826581,-31.038,NYT
8/28/2024,826581,620515,33.209,NYT
8/27/2024,620515,459931,34.915,NYT
8/26/2024,459931,541712,-15.097,NYT
8/23/2024,541712,518447,4.487,NYT
8/22/2024,518447,507600,2.137,NYT
8/21/2024,507600,539489,-5.911,NYT
8/20/2024,539489,448519,20.282,NYT
8/19/2024,448519,1191927,-62.37,NYT
8/16/2024,1191927,651380,82.985,NYT
8/15/2024,651380,662504,-1.679,NYT
8/14/2024,662504,918987,-27.909,NYT
8/13/2024,918987,961888,-4.46,NYT
8/12/2024,961888,1005871,-4.373,NYT
8/9/2024,1005871,1277508,-21.263,NYT
8/8/2024,1277508,1534041,-16.723,NYT
8/7/2024,1534041,1924739,-20.299,NYT
8/6/2024,1924739,1989429,-3.252,NYT
8/5/2024,1989429,984263,102.124,NYT
8/2/2024,984263,1114603,-11.694,NYT
8/1/2024,1114603,859725,29.647,NYT
7/31/2024,859725,1026789,-16.271,NYT
7/30/2024,1026789,915217,12.191,NYT
7/29/2024,915217,755889,21.078,NYT
7/26/2024,755889,1021607,-26.01,NYT
7/25/2024,1021607,1165091,-12.315,NYT
7/24/2024,1165091,1259587,-7.502,NYT
7/23/2024,1259587,2113536,-40.404,NYT
7/22/2024,2113536,1629597,29.697,NYT
7/19/2024,1629597,1880919,-13.362,NYT
7/18/2024,1880919,885189,112.488,NYT
7/17/2024,885189,1249615,-29.163,NYT
7/16/2024,1249615,1945962,-35.784,NYT
7/15/2024,1945962,,,NYT
10/11/2024,4834808,5459453,-11.442,SBUX
10/10/2024,5459453,3344801,63.222,SBUX
10/9/2024,3344801,6595191,-49.284,SBUX
10/8/2024,6595191,7478912,-11.816,SBUX
10/7/2024,7478912,6819465,9.67,SBUX
10/4/2024,6819465,5556383,22.732,SBUX
10/3/2024,5556383,6345996,-12.443,SBUX
10/2/2024,6345996,7171570,-11.512,SBUX
10/1/2024,7171570,6439104,11.375,SBUX
9/30/2024,6439104,6320017,1.884,SBUX
9/27/2024,6320017,9876771,-36.011,SBUX
9/26/2024,9876771,8632888,14.409,SBUX
9/25/2024,8632888,8606798,0.303,SBUX
9/24/2024,8606798,8382840,2.672,SBUX
9/23/2024,8382840,19541043,-57.101,SBUX
9/20/2024,19541043,8752645,123.259,SBUX
9/19/2024,8752645,8793825,-0.468,SBUX
9/18/2024,8793825,6281724,39.991,SBUX
9/17/2024,6281724,9263409,-32.188,SBUX
9/16/2024,9263409,9899865,-6.429,SBUX
9/13/2024,9899865,14658704,-32.464,SBUX
9/12/2024,14658704,19302885,-24.06,SBUX
9/11/2024,19302885,7327008,163.448,SBUX
9/10/2024,7327008,10089686,-27.381,SBUX
9/9/2024,10089686,9257004,8.995,SBUX
9/6/2024,9257004,8370064,10.597,SBUX
9/5/2024,8370064,7142167,17.192,SBUX
9/4/2024,7142167,11234031,-36.424,SBUX
9/3/2024,11234031,7117159,57.844,SBUX
8/30/2024,7117159,8781338,-18.951,SBUX
8/29/2024,8781338,14866276,-40.931,SBUX
8/28/2024,14866276,17456301,-14.837,SBUX
8/27/2024,17456301,13882774,25.741,SBUX
8/26/2024,13882774,11483711,20.891,SBUX
8/23/2024,11483711,10010284,14.719,SBUX
8/22/2024,10010284,6769155,47.881,SBUX
8/21/2024,6769155,11536234,-41.323,SBUX
8/20/2024,11536234,14479022,-20.325,SBUX
8/19/2024,14479022,16336331,-11.369,SBUX
8/16/2024,16336331,21109805,-22.613,SBUX
8/15/2024,21109805,45737849,-53.846,SBUX
8/14/2024,45737849,157215463,-70.908,SBUX
8/13/2024,157215463,13123036,1098.011,SBUX
8/12/2024,13123036,4683590,180.192,SBUX
8/9/2024,4683590,8988259,-47.892,SBUX
8/8/2024,8988259,7297044,23.177,SBUX
8/7/2024,7297044,10525494,-30.673,SBUX
8/6/2024,10525494,12372872,-14.931,SBUX
8/5/2024,12372872,15185688,-18.523,SBUX
8/2/2024,15185688,17307174,-12.258,SBUX
8/1/2024,17307174,18901085,-8.433,SBUX
7/31/2024,18901085,16163627,16.936,SBUX
7/30/2024,16163627,10864716,48.772,SBUX
7/29/2024,10864716,12387111,-12.29,SBUX
7/26/2024,12387111,18973613,-34.714,SBUX
7/25/2024,18973613,10478214,81.077,SBUX
7/24/2024,10478214,9592106,9.238,SBUX
7/23/2024,9592106,18851541,-49.118,SBUX
7/22/2024,18851541,32965919,-42.815,SBUX
7/19/2024,32965919,10700989,208.064,SBUX
7/18/2024,10700989,11567825,-7.494,SBUX
7/17/2024,11567825,14968743,-22.72,SBUX
7/16/2024,14968743,9064379,65.138,SBUX
7/15/2024,9064379,,,SBUX
