DATE,SYMBOL,VOLUME_CHANGE_PCT
10/11/2024,NYT,59.946
10/10/2024,NYT,-22.527
10/9/2024,NYT,14.145
10/8/2024,NYT,-9.152
10/7/2024,NYT,3.784
10/4/2024,NYT,-4.393
10/3/2024,NYT,-23.447
10/2/2024,NYT,21.928
10/1/2024,NYT,-9.718
9/30/2024,NYT,-7.148
9/27/2024,NYT,-16.996
9/26/2024,NYT,31.862
9/25/2024,NYT,7.184
9/24/2024,NYT,20.169
9/23/2024,NYT,-70.65
9/20/2024,NYT,217.193
9/19/2024,NYT,-23.77
9/18/2024,NYT,-6.699
9/17/2024,NYT,3.113
9/16/2024,NYT,22.584
9/13/2024,NYT,-10.563
9/12/2024,NYT,-27.048
9/11/2024,NYT,71.655
9/10/2024,NYT,-18.69
9/9/2024,NYT,-16.622
9/6/2024,NYT,74.891
9/5/2024,NYT,0.041
9/4/2024,NYT,-47.017
9/3/2024,NYT,4.463
8/30/2024,NYT,69.541
8/29/2024,NYT,-31.038
8/28/2024,NYT,33.209
8/27/2024,NYT,34.915
8/26/2024,NYT,-15.097
8/23/2024,NYT,4.487
8/22/2024,NYT,2.137
8/21/2024,NYT,-5.911
8/20/2024,NYT,20.282
8/19/2024,NYT,-62.37
8/16/2024,NYT,82.985
8/15/2024,NYT,-1.679
8/14/2024,NYT,-27.909
8/13/2024,NYT,-4.46
8/12/2024,NYT,-4.373
8/9/2024,NYT,-21.263
8/8/2024,NYT,-16.723
8/7/2024,NYT,-20.299
8/6/2024,NYT,-3.252
8/5/2024,NYT,102.124
8/2/2024,NYT,-11.694
8/1/2024,NYT,29.647
7/31/2024,NYT,-16.271
7/30/2024,NYT,12.191
7/29/2024,NYT,21.078
7/26/2024,NYT,-26.01
7/25/2024,NYT,-12.315
7/24/2024,NYT,-7.502
7/23/2024,NYT,-40.404
7/22/2024,NYT,29.697
7/19/2024,NYT,-13.362
7/18/2024,NYT,112.488
7/17/2024,NYT,-29.163
7/16/2024,NYT,-35.784
7/15/2024,NYT,
10/11/2024,SBUX,-11.442
10/10/2024,SBUX,63.222
10/9/2024,SBUX,-49.284
10/8/2024,SBUX,-11.816
10/7/2024,SBUX,9.67
10/4/2024,SBUX,22.732
10/3/2024,SBUX,-12.443
10/2/2024,SBUX,-11.512
10/1/2024,SBUX,11.375
9/30/2024,SBUX,1.884
9/27/2024,SBUX,-36.011
9/26/2024,SBUX,14.409
9/25/2024,SBUX,0.303
9/24/2024,SBUX,2.672
9/23/2024,SBUX,-57.101
9/20/2024,SBUX,123.259
9/19/2024,SBUX,-0.468
9/18/2024,SBUX,39.991
9/17/2024,SBUX,-32.188
9/16/2024,SBUX,-6.429
9/13/2024,SBUX,-32.464
9/12/2024,SBUX,-24.06
9/11/2024,SBUX,163.448
9/10/2024,SBUX,-27.381
9/9/2024,SBUX,8.995
9/6/2024,SBUX,10.597
9/5/2024,SBUX,17.192
9/4/2024,SBUX,-36.424
9/3/2024,SBUX,57.844
8/30/2024,SBUX,-18.951
8/29/2024,SBUX,-40.931
8/28/2024,SBUX,-14.837
8/27/2024,SBUX,25.741
8/26/2024,SBUX,20.891
8/23/2024,SBUX,14.719
8/22/2024,SBUX,47.881
8/21/2024,SBUX,-41.323
8/20/2024,SBUX,-20.325
8/19/2024,SBUX,-11.369
8/16/2024,SBUX,-22.613
8/15/2024,SBUX,-53.846
8/14/2024,SBUX,-70.908
8/13/2024,SBUX,1098.011
8/12/2024,SBUX,180.192
8/9/2024,SBUX,-47.892
8/8/2024,SBUX,23.177
8/7/2024,SBUX,-30.673
8/6/2024,SBUX,-14.931
8/5/2024,SBUX,-18.523
8/2/2024,SBUX,-12.258
8/1/2024,SBUX,-8.433
7/31/2024,SBUX,16.936
7/30/2024,SBUX,48.772
7/29/2024,SBUX,-12.29
7/26/2024,SBUX,-34.714
7/25/2024,SBUX,81.077
7/24/2024,SBUX,9.238
7/23/2024,SBUX,-49.118
7/22/2024,SBUX,-42.815
7/19/2024,SBUX,208.064
7/18/2024,SBUX,-7.494
7/17/2024,SBUX,-22.72
7/16/2024,SBUX,65.138
7/15/2024,SBUX,
